id,user_name,screen_name,location,url,followers_count,friends_count,status_count
486335150,Gai Brodtmann,GaiMBrodtmann,Canberra,,9233,1119,3607
322866759,Andrew Leigh,ALeighMP,"Canberra, Australia",https://t.co/zZVwil8G51,39078,587,11379
1924883101,David Coleman MP,DavidColemanMP,,,3794,154,411
157861165,Linda Burney MP,LindaBurneyMP,"Kogarah, Sydney",https://t.co/3tu4Srym04,20960,837,2628
2594661042,Julian Leeser MP,JulianLeeser,"Berowra, NSW",https://t.co/UoCRAYEcMj,1010,436,232
88859872,Jason Clare MP,JasonClareMP,,https://t.co/Y4vMHVrglA,29294,488,4467
77896983,Paul Fletcher,PaulFletcherMP,"Lindfield, NSW",https://t.co/AitAiAXTOb,11116,973,4750
34116377,Scott Morrison,ScottMorrisonMP,"Canberra, Australia",https://t.co/3pdq8hVjAJ,184789,1726,7263
92648503,Sharon Bird MP,SharonBirdMP,"Wollongong, NSW",https://t.co/0RlbW4aBi0,10034,677,6712
702698265695760384,Emma McBride MP,Emma4Dobell,"Tuggerah, Central Coast, NSW ",,1254,346,64
167699332,Mike Kelly,MikeKellyofEM,Eden-Monaro NSW,http://t.co/ZyxtIzVkFl,11820,3614,34301
92862419,Sussan Ley,sussanley,"Albury, New South Wales",https://t.co/yhPeYB8sye,23020,1525,2753
254515782,Anthony Albanese,AlboMP,"Sydney | Authorised by A. Albanese, Australian Labor Party, 334a Marrickville Road, Marrickville NSW 2204",https://t.co/yZ1OV91wNf,167422,2768,11299
210702383,Michelle Rowland,MRowlandMP,Seven Hills,https://t.co/9GbhefB32H,16898,3715,9608
211371719,Craig Kelly MP,CraigKellyMP,,http://t.co/xvdQNcVYyq,5294,410,1002
84750011,Angus Taylor MP,AngusTaylorMP,"Goulburn, New South Wales",https://t.co/8UUXgCKRFq,10674,1281,2406
147869440,Joel Fitzgibbon,fitzhunter,"Cessnock, Hunter Valley, NSW",https://t.co/YThyQb8Jl1,25675,4064,9073
87395643,Matt Thistlethwaite,MThistlethwaite,"Sydney, NSW",http://t.co/Ztnp7jfvGV,8828,3107,7328
112383045,Emma Husar,emmahusarmp,Australia,https://t.co/sOpGI1d5Ze,8231,1918,4333
127083666,David Gillespie,DaveGillespieMP,"Wauchope, New South Wales",https://t.co/avvhhqizNj,3992,353,830
759921684543451136,Jason Falinski MP,JasonFalinskiMP,"Northern Beaches, Sydney",https://t.co/ZIQ3ZRxOGk,1116,450,1240
850633596,Susan Templeman MP,stemplemanmp,Hawkesbury & Blue Mountains,https://t.co/3WjvS4JDOZ,2743,459,1384
150856088,Chris Bowen,Bowenchris,,https://t.co/T2gIyw7O9g,94596,2652,3221
18864066,Alex Hawke MP,AlexHawkeMP,Northwest Sydney,https://t.co/v7qMOkZC02,14085,9122,5989
1075527246,Sharon Claydon,SharonClaydon,Newcastle NSW Australia,http://t.co/6Kim8kRcy8,4152,1116,2544
114936799,Barnaby Joyce,Barnaby_Joyce,"Authorised by Barnaby Joyce, The Nationals, Tamworth NSW",https://t.co/WoC3LHdAhx,93125,974,3152
859024531,Kevin Hogan,KevinHoganMP,"Northern Rivers, NSW",http://t.co/2FigllVotR,2914,147,1754
481708709,Mark Coulton,MarkCoultonMP,"Mark Coulton, The Nationals",https://t.co/TeJ1bTGMi6,4812,443,3272
114596660,Julie Owens,JulieOwensMP,Parramatta,http://t.co/BmNXjeFzqT,8685,2604,4248
1586960762,Meryl Swanson MP,MerylSwanson,"Buchanan, New South Wales",https://t.co/ZchKzlKInO,1761,964,2623
2464473097,Justine Elliot,JElliotMP,"Tweed Heads, New South Wales",,1877,599,1583
1195051945,Michael McCormack,M_McCormackMP,"Authorised by Michael McCormack, The Nationals, Wagga Wagga.",https://t.co/eYptWuz9ZY,13607,1432,7008
2293950596,Lucy Wicks MP,LucyWicksMP,"West Gosford, Central Coast",https://t.co/zfqMA3vPpy,3807,1166,3343
419903034,Pat Conroy MP,PatConroy1,Authorised: P Conroy 571 Pacific Hwy Belmont,https://t.co/QD8f09wVjS,3234,260,1375
307755781,Tanya Plibersek,tanya_plibersek,Sydney,https://t.co/PN4iCoAWW5,229642,716,5775
1137661725040209921,Tone Abet,TonyAbbottMHR,,,57,3,4
22887941,Tony Burke,Tony_Burke,,https://t.co/XZLuzQly7w,71783,11264,6416
173672963,💧Prof Kerryn Phelps AM,drkerrynphelps,Australia,,42577,1444,24751
718781363898322944,Anne Stanley MP,AnneWerriwa,"Hinchinbrook, Sydney",https://t.co/l2CNdkYfDM,869,197,2828
117273312,Stephen Jones,stephenjonesALP,Illawarra,https://t.co/QQqrrGiBZ6,5142,850,2122
619738680,Warren Snowdon,manwiththemo,Alice Springs,https://t.co/5W1fF8U95p,4123,1108,2592
249616322,Luke Gosling,lukejgosling,"Darwin, Northern Territory",https://t.co/LMUJL797iu,3656,2721,3956
117717402,Shayne Neumann,ShayneNeumannMP,Electorate of Blair,https://t.co/y1hRnlOXFT,10499,1682,11278
49499855,Andrew Laming,AndrewLamingMP,Cleveland Queensland,https://t.co/idM4HKKB5n,7508,645,5401
848758017084477441,Michelle Landry MP,mlandryMP,"Rockhampton, Queensland",https://t.co/RD6dMHPcfS,484,43,138
17338684,George Christensen,GChristensenMP,Mackay,https://t.co/aRKzRY9cGJ,16278,6042,6387
20559705,Peter Dutton,PeterDutton_MP,"Authorised by Peter Dutton, Liberal Party of Australia, Brisbane",https://t.co/jGqOMts0wz,71607,418,1155
21961243,Stuart Robert MP,stuartrobertmp,Gold Coast,https://t.co/4AkVXKcpT2,10742,595,6073
3241171038,Ted O'Brien,Ted4Fairfax,"Sunshine Coast, Queensland",,169,39,4
252016955,Andrew Wallace MP,AndrewWallaceMP,"Sunshine Coast, Qld Australia",https://t.co/4nb4D2OZi4,185,80,21
3252206005,Ken O'Dowd,KenODowdMP,"Gladstone, Queensland",http://t.co/fc0zXC3Ymk,625,117,125
44334649,Terri Butler MP,terrimbutler,"Brisbane, Qld",https://t.co/fF61hwY6LJ,24125,5913,15701
